fuzz_cases,coverage_reached,mutation_aggressiveness
1, 9.642857142857144, 5
6, 11.25, 5
8, 11.428571428571429, 5
11, 11.964285714285715, 5
12, 12.142857142857142, 5
13, 12.321428571428573, 5
16, 12.5, 5
18, 12.678571428571427, 5
19, 12.857142857142856, 5
20, 13.214285714285715, 5
21, 13.392857142857142, 5
25, 13.571428571428571, 5
37, 14.285714285714285, 5
38, 15.357142857142858, 5
41, 16.428571428571427, 5
43, 16.607142857142858, 5
46, 17.5, 5
51, 17.857142857142858, 5
62, 18.21428571428571, 5
63, 18.928571428571427, 5
64, 19.28571428571429, 5
71, 19.464285714285715, 5
73, 19.642857142857142, 5
74, 19.82142857142857, 5
78, 20, 5
85, 20.357142857142858, 5
92, 20.714285714285715, 5
94, 20.892857142857142, 5
97, 21.071428571428573, 5
100, 21.428571428571427, 5
104, 21.607142857142858, 5
109, 21.785714285714285, 5
111, 21.964285714285715, 5
120, 22.142857142857142, 5
128, 22.321428571428573, 5
132, 22.5, 5
135, 22.678571428571427, 5
136, 22.857142857142858, 5
149, 23.035714285714285, 5
156, 23.214285714285715, 5
161, 23.392857142857142, 5
163, 23.75, 5
164, 25.535714285714285, 5
170, 25.71428571428571, 5
172, 25.892857142857146, 5
183, 26.071428571428573, 5
191, 26.42857142857143, 5
194, 26.607142857142858, 5
196, 26.785714285714285, 5
200, 26.96428571428571, 5
229, 27.67857142857143, 5
233, 27.857142857142858, 5
246, 28.035714285714285, 5
252, 28.214285714285715, 5
259, 28.392857142857142, 5
262, 28.57142857142857, 5
286, 28.92857142857143, 5
290, 29.107142857142858, 5
300, 29.28571428571429, 5
308, 29.82142857142857, 5
326, 30, 5
353, 31.071428571428573, 5
456, 31.25, 5
468, 31.607142857142854, 5
494, 31.96428571428571, 5
518, 32.142857142857146, 5
520, 32.32142857142858, 5
554, 32.5, 5
572, 32.67857142857143, 5
586, 33.57142857142857, 5
587, 33.75, 5
598, 33.92857142857143, 5
660, 34.464285714285715, 5
686, 34.82142857142857, 5
714, 35, 5
723, 35.35714285714286, 5
789, 35.535714285714285, 5
790, 35.714285714285715, 5
806, 35.892857142857146, 5
810, 36.07142857142857, 5
884, 36.42857142857142, 5
889, 36.78571428571429, 5
942, 36.964285714285715, 5
977, 37.142857142857146, 5
1040, 37.67857142857143, 5
1056, 37.857142857142854, 5
1071, 38.035714285714285, 5
1076, 38.21428571428571, 5
1108, 38.392857142857146, 5
1194, 38.57142857142858, 5
1199, 38.75, 5
1253, 38.92857142857143, 5
1257, 39.107142857142854, 5
1311, 39.285714285714285, 5
1321, 39.64285714285714, 5
1383, 40, 5
1391, 41.785714285714285, 5
1403, 41.964285714285715, 5
1418, 42.142857142857146, 5
1421, 42.32142857142857, 5
1438, 42.5, 5
1492, 42.67857142857142, 5
1520, 42.857142857142854, 5
1633, 43.03571428571429, 5
1638, 43.214285714285715, 5
1807, 43.392857142857146, 5
1818, 43.57142857142857, 5
1819, 43.75, 5
1925, 43.92857142857143, 5
1928, 44.107142857142854, 5
2086, 44.285714285714285, 5
2123, 44.46428571428571, 5
2179, 44.642857142857146, 5
2218, 44.82142857142858, 5
2228, 45, 5
2291, 45.17857142857143, 5
2306, 45.357142857142854, 5
2515, 45.535714285714285, 5
2525, 45.714285714285715, 5
2536, 45.89285714285714, 5
2828, 46.07142857142857, 5
2904, 46.25, 5
2961, 46.964285714285715, 5
2963, 47.67857142857143, 5
3025, 49.107142857142854, 5
3128, 49.82142857142857, 5
3267, 50, 5
3271, 50.17857142857143, 5
3343, 50.535714285714285, 5
3575, 50.71428571428571, 5
3766, 50.89285714285714, 5
3818, 51.07142857142857, 5
3830, 51.24999999999999, 5
4191, 51.42857142857142, 5
4283, 51.60714285714286, 5
4290, 52.85714285714286, 5
4419, 53.035714285714285, 5
4438, 53.214285714285715, 5
4447, 53.39285714285714, 5
4490, 53.57142857142857, 5
4547, 53.75, 5
4553, 53.92857142857142, 5
4750, 54.107142857142854, 5
4845, 54.285714285714285, 5
5078, 54.46428571428571, 5
5197, 54.64285714285714, 5
5317, 55.714285714285715, 5
5319, 55.892857142857146, 5
5554, 56.07142857142857, 5
5600, 56.25, 5
5682, 56.42857142857143, 5
5717, 56.607142857142854, 5
5797, 56.785714285714285, 5
6392, 56.96428571428571, 5
6479, 57.67857142857142, 5
6656, 58.03571428571429, 5
6662, 58.392857142857146, 5
6862, 58.75, 5
7440, 58.92857142857143, 5
7453, 59.10714285714286, 5
7566, 59.285714285714285, 5
7795, 59.464285714285715, 5
7833, 59.64285714285714, 5
7840, 60, 5
8231, 60.17857142857142, 5
8327, 60.71428571428571, 5
8447, 60.89285714285714, 5
8458, 61.07142857142858, 5
8981, 61.25000000000001, 5
9201, 61.42857142857143, 5
9344, 61.60714285714286, 5
10145, 61.78571428571429, 5
10278, 62.142857142857146, 5
10567, 62.32142857142857, 5
10620, 62.5, 5
10804, 62.67857142857143, 5
10817, 62.857142857142854, 5
11037, 63.035714285714285, 5
11880, 63.21428571428571, 5
12258, 63.39285714285714, 5
12784, 63.57142857142857, 5
12874, 63.74999999999999, 5
13016, 64.10714285714286, 5
13189, 64.46428571428572, 5
13321, 67.85714285714286, 5
13714, 68.03571428571429, 5
13837, 68.21428571428572, 5
13884, 68.39285714285714, 5
14069, 68.57142857142857, 5
14237, 68.75, 5
14295, 69.10714285714286, 5
14610, 69.28571428571428, 5
15278, 69.46428571428571, 5
15309, 69.64285714285714, 5
15664, 70, 5
15674, 70.17857142857142, 5
16078, 70.35714285714286, 5
16368, 70.53571428571429, 5
16464, 70.89285714285715, 5
17119, 71.07142857142857, 5
17506, 71.42857142857143, 5
17820, 71.60714285714286, 5
17850, 72.32142857142857, 5
18077, 72.5, 5
18115, 72.67857142857143, 5
18203, 72.85714285714285, 5
18227, 73.03571428571428, 5
18314, 73.21428571428571, 5
19840, 73.39285714285714, 5
20005, 73.57142857142858, 5
20192, 73.75, 5
21422, 73.92857142857143, 5
23830, 74.10714285714286, 5
23915, 74.28571428571429, 5
25026, 74.46428571428572, 5
25172, 74.64285714285714, 5
25652, 74.82142857142857, 5
25899, 75, 5
25989, 75.35714285714286, 5
26524, 75.53571428571428, 5
26536, 75.71428571428571, 5
28607, 75.89285714285714, 5
28997, 76.07142857142857, 5
29361, 76.25, 5
31047, 76.42857142857142, 5
31864, 76.60714285714286, 5
33283, 76.78571428571429, 5
34023, 76.96428571428572, 5
34681, 77.14285714285715, 5
34745, 77.32142857142857, 5
37374, 77.5, 5
37597, 77.85714285714286, 5
37987, 78.21428571428571, 5
38358, 78.39285714285714, 5
39068, 78.57142857142857, 5
39886, 79.10714285714285, 5
41959, 79.28571428571428, 5
45100, 79.46428571428571, 5
46698, 79.64285714285714, 5
56804, 79.82142857142858, 5
57098, 80, 5
57349, 80.17857142857143, 5
59704, 80.35714285714286, 5
60122, 80.71428571428572, 5
68497, 80.89285714285714, 5
69135, 81.07142857142857, 5
72999, 81.25, 5
73133, 81.42857142857143, 5
74973, 81.60714285714286, 5
79574, 81.78571428571428, 5
81568, 82.14285714285714, 5
85818, 82.32142857142857, 5
86456, 82.67857142857142, 5
87135, 82.85714285714286, 5
116751, 83.03571428571429, 5
118312, 83.21428571428572, 5
120777, 83.92857142857143, 5
129926, 84.28571428571429, 5
134803, 84.46428571428571, 5
134812, 84.64285714285714, 5
136376, 85, 5
136732, 85.17857142857143, 5
138127, 85.35714285714285, 5
139114, 85.53571428571428, 5
140249, 85.71428571428571, 5
145542, 85.89285714285714, 5
147756, 86.07142857142858, 5
148769, 86.25, 5
149292, 86.42857142857143, 5
153955, 86.60714285714286, 5
159115, 86.78571428571429, 5
192945, 86.96428571428572, 5
202974, 87.14285714285714, 5
208467, 87.32142857142857, 5
212071, 87.5, 5
212250, 88.03571428571428, 5
217183, 88.21428571428571, 5
218333, 88.39285714285714, 5
218999, 88.57142857142857, 5
219020, 88.75, 5
227594, 89.10714285714286, 5
228627, 89.28571428571429, 5
230837, 89.46428571428572, 5
233411, 89.64285714285715, 5
234114, 89.82142857142857, 5
234415, 90, 5
235560, 90.17857142857143, 5
241478, 90.35714285714286, 5
257408, 90.53571428571429, 5
259700, 90.71428571428571, 5
263528, 90.89285714285714, 5
269094, 91.07142857142857, 5
269282, 91.25, 5
294445, 91.42857142857143, 5
306066, 91.60714285714285, 5
310548, 91.78571428571428, 5
326432, 91.96428571428571, 5
335847, 92.32142857142858, 5
341200, 92.5, 5
347811, 92.67857142857143, 5
350116, 92.85714285714286, 5
359770, 93.21428571428572, 5
361138, 93.57142857142857, 5
367076, 93.75, 5
372386, 93.92857142857143, 5
373165, 94.10714285714286, 5
375566, 94.28571428571428, 5
377253, 94.46428571428571, 5
377906, 94.64285714285714, 5
391665, 94.82142857142857, 5
392129, 95, 5
392449, 95.17857142857142, 5
393668, 95.35714285714286, 5
397949, 95.53571428571429, 5
399903, 95.71428571428572, 5
402363, 96.07142857142857, 5
404656, 96.25, 5
418686, 96.42857142857143, 5
428036, 96.60714285714286, 5
429397, 96.78571428571429, 5
435918, 96.96428571428571, 5
467541, 97.14285714285714, 5
476055, 97.32142857142857, 5
477206, 97.5, 5
485797, 97.67857142857143, 5
574481, 97.85714285714285, 5
583768, 98.03571428571428, 5
599842, 98.21428571428571, 5
611655, 98.39285714285714, 5
673095, 98.57142857142858, 5
1044919, 98.75, 5
1377116, 98.92857142857143, 5
1612012, 99.10714285714286, 5
1762260, 99.28571428571429, 5
1763722, 99.46428571428572, 5
1774888, 99.64285714285714, 5
1795168, 99.82142857142857, 5
2116799, 100, 5
1, 9.642857142857144, 10
2, 11.071428571428571, 10
3, 11.25, 10
4, 12.321428571428573, 10
5, 14.107142857142858, 10
6, 14.285714285714285, 10
7, 14.464285714285715, 10
8, 14.642857142857144, 10
9, 15, 10
10, 15.535714285714286, 10
12, 15.714285714285714, 10
13, 15.892857142857142, 10
14, 16.25, 10
19, 16.428571428571427, 10
20, 16.964285714285715, 10
22, 17.67857142857143, 10
23, 18.035714285714285, 10
24, 18.928571428571427, 10
26, 19.107142857142854, 10
27, 19.28571428571429, 10
28, 19.464285714285715, 10
34, 19.642857142857142, 10
35, 20.17857142857143, 10
36, 20.357142857142858, 10
39, 20.535714285714285, 10
40, 20.714285714285715, 10
42, 21.071428571428573, 10
48, 21.25, 10
51, 21.428571428571427, 10
54, 21.607142857142858, 10
57, 23.92857142857143, 10
58, 24.285714285714285, 10
60, 24.46428571428571, 10
63, 25, 10
64, 25.178571428571427, 10
65, 25.357142857142854, 10
72, 25.535714285714285, 10
73, 25.71428571428571, 10
74, 25.892857142857146, 10
77, 26.42857142857143, 10
78, 26.607142857142858, 10
79, 26.785714285714285, 10
85, 26.96428571428571, 10
92, 27.142857142857142, 10
93, 27.500000000000004, 10
99, 27.67857142857143, 10
101, 27.857142857142858, 10
102, 28.214285714285715, 10
103, 28.392857142857142, 10
107, 28.57142857142857, 10
108, 28.92857142857143, 10
112, 29.28571428571429, 10
119, 29.464285714285715, 10
125, 29.642857142857142, 10
127, 29.82142857142857, 10
135, 30.357142857142854, 10
136, 30.53571428571429, 10
138, 30.714285714285715, 10
142, 30.892857142857146, 10
149, 31.071428571428573, 10
150, 31.96428571428571, 10
153, 32.142857142857146, 10
155, 32.32142857142858, 10
157, 32.67857142857143, 10
159, 32.857142857142854, 10
166, 33.214285714285715, 10
171, 33.39285714285714, 10
174, 33.57142857142857, 10
178, 33.92857142857143, 10
180, 34.464285714285715, 10
190, 34.64285714285714, 10
195, 34.82142857142857, 10
203, 35, 10
212, 35.17857142857143, 10
233, 35.35714285714286, 10
239, 35.535714285714285, 10
256, 35.714285714285715, 10
322, 35.892857142857146, 10
327, 36.07142857142857, 10
333, 36.25, 10
341, 36.42857142857142, 10
343, 36.607142857142854, 10
344, 36.78571428571429, 10
354, 36.964285714285715, 10
357, 37.142857142857146, 10
379, 37.32142857142857, 10
395, 39.285714285714285, 10
420, 39.64285714285714, 10
430, 40, 10
451, 40.17857142857143, 10
466, 40.35714285714286, 10
467, 40.535714285714285, 10
507, 40.714285714285715, 10
528, 40.89285714285714, 10
529, 41.07142857142857, 10
548, 41.25, 10
555, 41.42857142857143, 10
582, 41.60714285714286, 10
586, 41.785714285714285, 10
609, 41.964285714285715, 10
612, 42.142857142857146, 10
620, 42.32142857142857, 10
643, 42.67857142857142, 10
664, 42.857142857142854, 10
669, 43.03571428571429, 10
680, 44.285714285714285, 10
730, 44.46428571428571, 10
738, 44.642857142857146, 10
740, 44.82142857142858, 10
774, 45, 10
816, 45.17857142857143, 10
868, 45.357142857142854, 10
921, 45.535714285714285, 10
928, 46.07142857142857, 10
998, 46.25, 10
1016, 46.42857142857143, 10
1081, 46.60714285714286, 10
1098, 46.785714285714285, 10
1190, 46.964285714285715, 10
1212, 47.14285714285714, 10
1217, 47.67857142857143, 10
1265, 47.85714285714286, 10
1298, 48.035714285714285, 10
1337, 48.214285714285715, 10
1507, 48.392857142857146, 10
1524, 48.75, 10
1592, 48.92857142857142, 10
1597, 49.107142857142854, 10
1605, 49.28571428571429, 10
1641, 49.464285714285715, 10
1644, 49.642857142857146, 10
1660, 49.82142857142857, 10
1735, 50, 10
1806, 50.17857142857143, 10
1835, 50.357142857142854, 10
1918, 50.535714285714285, 10
1933, 50.71428571428571, 10
1957, 50.89285714285714, 10
1961, 52.142857142857146, 10
1968, 52.32142857142858, 10
2015, 52.5, 10
2034, 52.67857142857143, 10
2106, 52.85714285714286, 10
2214, 53.39285714285714, 10
2224, 53.57142857142857, 10
2245, 53.75, 10
2267, 54.285714285714285, 10
2404, 54.46428571428571, 10
2421, 54.64285714285714, 10
2428, 55.35714285714286, 10
2454, 55.53571428571429, 10
2497, 55.714285714285715, 10
2553, 55.892857142857146, 10
2597, 56.607142857142854, 10
2679, 56.785714285714285, 10
2690, 56.96428571428571, 10
2866, 57.14285714285714, 10
2920, 57.32142857142857, 10
2979, 57.49999999999999, 10
2982, 57.67857142857142, 10
3001, 58.03571428571429, 10
3034, 58.214285714285715, 10
3052, 58.392857142857146, 10
3063, 58.57142857142858, 10
3198, 58.92857142857143, 10
3517, 63.57142857142857, 10
3596, 63.74999999999999, 10
3658, 63.92857142857142, 10
3819, 64.10714285714286, 10
3916, 64.28571428571429, 10
3979, 64.46428571428572, 10
3995, 64.64285714285715, 10
4010, 64.82142857142857, 10
4251, 65, 10
4487, 65.17857142857143, 10
4505, 65.35714285714286, 10
4668, 65.53571428571429, 10
4739, 65.71428571428571, 10
4816, 65.89285714285714, 10
4978, 66.07142857142857, 10
4995, 66.25, 10
5125, 66.42857142857143, 10
5281, 66.60714285714285, 10
5306, 66.96428571428571, 10
5445, 67.14285714285714, 10
5491, 67.5, 10
5564, 67.85714285714286, 10
5697, 68.03571428571429, 10
5939, 68.39285714285714, 10
6045, 68.57142857142857, 10
6106, 68.75, 10
6225, 68.92857142857143, 10
6320, 69.28571428571428, 10
6346, 69.46428571428571, 10
6392, 69.64285714285714, 10
6502, 69.82142857142857, 10
6525, 70, 10
6679, 70.17857142857142, 10
6774, 70.35714285714286, 10
6849, 70.53571428571429, 10
6985, 70.71428571428572, 10
7032, 71.25, 10
7216, 71.42857142857143, 10
7371, 71.60714285714286, 10
7382, 71.96428571428571, 10
7574, 72.14285714285714, 10
7725, 72.32142857142857, 10
7792, 72.67857142857143, 10
8007, 72.85714285714285, 10
8090, 73.03571428571428, 10
8348, 73.21428571428571, 10
8385, 73.39285714285714, 10
8580, 73.75, 10
8647, 73.92857142857143, 10
8838, 74.10714285714286, 10
8997, 74.28571428571429, 10
9035, 74.46428571428572, 10
9155, 74.64285714285714, 10
9317, 74.82142857142857, 10
9332, 75, 10
9488, 75.17857142857143, 10
9581, 75.53571428571428, 10
9705, 75.71428571428571, 10
10055, 75.89285714285714, 10
10057, 76.07142857142857, 10
10580, 76.42857142857142, 10
10908, 76.60714285714286, 10
11215, 76.78571428571429, 10
11225, 76.96428571428572, 10
11383, 77.14285714285715, 10
11420, 77.32142857142857, 10
12086, 77.5, 10
12335, 77.67857142857143, 10
12668, 78.03571428571429, 10
13359, 78.21428571428571, 10
13682, 78.39285714285714, 10
13959, 78.57142857142857, 10
14796, 78.75, 10
14865, 78.92857142857143, 10
15078, 79.10714285714285, 10
16199, 79.46428571428571, 10
16568, 79.64285714285714, 10
19950, 79.82142857142858, 10
20652, 80, 10
22462, 80.35714285714286, 10
22526, 80.89285714285714, 10
29373, 81.07142857142857, 10
30304, 81.25, 10
35211, 81.42857142857143, 10
40649, 81.60714285714286, 10
41450, 82.14285714285714, 10
43353, 82.32142857142857, 10
43872, 82.5, 10
48226, 82.67857142857142, 10
52227, 82.85714285714286, 10
54130, 83.03571428571429, 10
54945, 83.39285714285715, 10
56146, 83.57142857142857, 10
57171, 83.75, 10
63577, 84.28571428571429, 10
67573, 84.46428571428571, 10
72573, 84.64285714285714, 10
76760, 84.82142857142857, 10
76888, 85, 10
80495, 85.35714285714285, 10
83834, 85.89285714285714, 10
86809, 86.07142857142858, 10
